Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,PolyLineLocator.java,org.jhotdraw.figuresPolyLineLocator.java,
AJHotDraw,AttributeFigure.java,org.jhotdraw.figuresAttributeFigure.java,
AJHotDraw,Connector.java,org.jhotdraw.frameworkConnector.java,
AJHotDraw,DrawingChangeEvent.java,org.jhotdraw.frameworkDrawingChangeEvent.java,
AJHotDraw,DrawingView.java,org.jhotdraw.frameworkDrawingView.java,
AJHotDraw,Tool.java,org.jhotdraw.frameworkTool.java,
AJHotDraw,FigureVisitor.java,org.jhotdraw.frameworkFigureVisitor.java,
AJHotDraw,PointConstrainer.java,org.jhotdraw.frameworkPointConstrainer.java,
AJHotDraw,FigureAttributeConstant.java,org.jhotdraw.frameworkFigureAttributeConstant.java,
AJHotDraw,FigureSelectionListener.java,org.jhotdraw.frameworkFigureSelectionListener.java,
AJHotDraw,ConnectionFigure.java,org.jhotdraw.frameworkConnectionFigure.java,
AJHotDraw,Drawing.java,org.jhotdraw.frameworkDrawing.java,
AJHotDraw,Painter.java,org.jhotdraw.frameworkPainter.java,
AJHotDraw,Cursor.java,org.jhotdraw.frameworkCursor.java,
AJHotDraw,Handle.java,org.jhotdraw.frameworkHandle.java,
AJHotDraw,DrawingEditor.java,org.jhotdraw.frameworkDrawingEditor.java,
AJHotDraw,ToolListener.java,org.jhotdraw.frameworkToolListener.java,
AJHotDraw,Figure.java,org.jhotdraw.frameworkFigure.java,
AJHotDraw,JHotDrawRuntimeException.java,org.jhotdraw.frameworkJHotDrawRuntimeException.java,
AJHotDraw,FigureChangeEvent.java,org.jhotdraw.frameworkFigureChangeEvent.java,
AJHotDraw,HandleEnumeration.java,org.jhotdraw.frameworkHandleEnumeration.java,
AJHotDraw,JHotDrawException.java,org.jhotdraw.frameworkJHotDrawException.java,
AJHotDraw,Locator.java,org.jhotdraw.frameworkLocator.java,
AJHotDraw,FigureChangeListener.java,org.jhotdraw.frameworkFigureChangeListener.java,
AJHotDraw,FigureSelection.java,org.jhotdraw.frameworkFigureSelection.java,
AJHotDraw,ViewChangeListener.java,org.jhotdraw.frameworkViewChangeListener.java,
AJHotDraw,FigureEnumeration.java,org.jhotdraw.frameworkFigureEnumeration.java,
AJHotDraw,DrawingChangeListener.java,org.jhotdraw.frameworkDrawingChangeListener.java,
AJHotDraw,MySelectionTool.java,org.jhotdraw.samples.javadrawMySelectionTool.java,
AJHotDraw,FollowURLTool.java,org.jhotdraw.samples.javadrawFollowURLTool.java,
AJHotDraw,AnimationDecorator.java,org.jhotdraw.samples.javadrawAnimationDecorator.java,
AJHotDraw,BouncingDrawing.java,org.jhotdraw.samples.javadrawBouncingDrawing.java,
AJHotDraw,Animator.java,org.jhotdraw.samples.javadrawAnimator.java,
AJHotDraw,JavaDrawViewer.java,org.jhotdraw.samples.javadrawJavaDrawViewer.java,
AJHotDraw,URLTool.java,org.jhotdraw.samples.javadrawURLTool.java,
AJHotDraw,PatternPainter.java,org.jhotdraw.samples.javadrawPatternPainter.java,
AJHotDraw,JavaDrawApp.java,org.jhotdraw.samples.javadrawJavaDrawApp.java,
AJHotDraw,JavaDrawApplet.java,org.jhotdraw.samples.javadrawJavaDrawApplet.java,
AJHotDraw,MiniMapDesktop.java,org.jhotdraw.samples.minimapMiniMapDesktop.java,
AJHotDraw,MiniMapApplication.java,org.jhotdraw.samples.minimapMiniMapApplication.java,
AJHotDraw,NetApp.java,org.jhotdraw.samples.netNetApp.java,
AJHotDraw,NodeFigure.java,org.jhotdraw.samples.netNodeFigure.java,
AJHotDraw,NothingApplet.java,org.jhotdraw.samples.nothingNothingApplet.java,
AJHotDraw,NothingApp.java,org.jhotdraw.samples.nothingNothingApp.java,
AJHotDraw,PertFigure.java,org.jhotdraw.samples.pertPertFigure.java,
AJHotDraw,PertDependency.java,org.jhotdraw.samples.pertPertDependency.java,
AJHotDraw,PertApplet.java,org.jhotdraw.samples.pertPertApplet.java,
AJHotDraw,PertFigureCreationTool.java,org.jhotdraw.samples.pertPertFigureCreationTool.java,
AJHotDraw,PertApplication.java,org.jhotdraw.samples.pertPertApplication.java,
AJHotDraw,ActionTool.java,org.jhotdraw.standardActionTool.java,
AJHotDraw,FigureEnumerator.java,org.jhotdraw.standardFigureEnumerator.java,
AJHotDraw,ReverseFigureEnumerator.java,org.jhotdraw.standardReverseFigureEnumerator.java,
AJHotDraw,CutCommand.java,org.jhotdraw.standardCutCommand.java,
AJHotDraw,NullDrawingView.java,org.jhotdraw.standardNullDrawingView.java,
AJHotDraw,NullHandle.java,org.jhotdraw.standardNullHandle.java,
AJHotDraw,QuadTree.java,org.jhotdraw.standardQuadTree.java,
AJHotDraw,StandardFigureSelection.java,org.jhotdraw.standardStandardFigureSelection.java,
AJHotDraw,OffsetLocator.java,org.jhotdraw.standardOffsetLocator.java,
AJHotDraw,StandardDrawing.java,org.jhotdraw.standardStandardDrawing.java,
AJHotDraw,CopyCommand.java,org.jhotdraw.standardCopyCommand.java,
AJHotDraw,ChangeAttributeCommand.java,org.jhotdraw.standardChangeAttributeCommand.java,
AJHotDraw,RelativeLocator.java,org.jhotdraw.standardRelativeLocator.java,
AJHotDraw,DragTracker.java,org.jhotdraw.standardDragTracker.java,
AJHotDraw,DragTracker.java,org.jhotdraw.standardDragTracker.java,
AJHotDraw,SendToBackCommand.java,org.jhotdraw.standardSendToBackCommand.java,
AJHotDraw,SendToBackCommand.java,org.jhotdraw.standardSendToBackCommand.java,
AJHotDraw,AbstractLocator.java,org.jhotdraw.standardAbstractLocator.java,
AJHotDraw,ConnectionHandle.java,org.jhotdraw.standardConnectionHandle.java,
AJHotDraw,CompositeFigure.java,org.jhotdraw.standardCompositeFigure.java,
AJHotDraw,LocatorConnector.java,org.jhotdraw.standardLocatorConnector.java,
AJHotDraw,TextHolder.java,org.jhotdraw.standardTextHolder.java,
AJHotDraw,ConnectionTool.java,org.jhotdraw.standardConnectionTool.java,
AJHotDraw,ConnectionTool.java,org.jhotdraw.standardConnectionTool.java,
AJHotDraw,HandleAndEnumerator.java,org.jhotdraw.standardHandleAndEnumerator.java,
AJHotDraw,BufferedUpdateStrategy.java,org.jhotdraw.standardBufferedUpdateStrategy.java,
AJHotDraw,AbstractFigure.java,org.jhotdraw.standardAbstractFigure.java,
AJHotDraw,BringToFrontCommand.java,org.jhotdraw.standardBringToFrontCommand.java,
AJHotDraw,DuplicateCommand.java,org.jhotdraw.standardDuplicateCommand.java,
AJHotDraw,ToolButton.java,org.jhotdraw.standardToolButton.java,
AJHotDraw,GridConstrainer.java,org.jhotdraw.standardGridConstrainer.java,
AJHotDraw,ChangeConnectionEndHandle.java,org.jhotdraw.standardChangeConnectionEndHandle.java,
AJHotDraw,ChangeConnectionEndHandle.java,org.jhotdraw.standardChangeConnectionEndHandle.java,
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standardStandardDrawingView.java,
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standardStandardDrawingView.java,
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standardStandardDrawingView.java,
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standardStandardDrawingView.java,
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standardStandardDrawingView.java,
AJHotDraw,ToggleGridCommand.java,org.jhotdraw.standardToggleGridCommand.java,
AJHotDraw,AlignCommand.java,org.jhotdraw.standardAlignCommand.java,
AJHotDraw,AlignCommand.java,org.jhotdraw.standardAlignCommand.java,
AJHotDraw,ChangeConnectionHandle.java,org.jhotdraw.standardChangeConnectionHandle.java,
AJHotDraw,ChangeConnectionHandle.java,org.jhotdraw.standardChangeConnectionHandle.java,
AJHotDraw,FastBufferedUpdateStrategy.java,org.jhotdraw.standardFastBufferedUpdateStrategy.java,
AJHotDraw,FigureChangeEventMulticaster.java,org.jhotdraw.standardFigureChangeEventMulticaster.java,
AJHotDraw,NullTool.java,org.jhotdraw.standardNullTool.java,
AJHotDraw,SelectionTool.java,org.jhotdraw.standardSelectionTool.java,
AJHotDraw,HandleEnumerator.java,org.jhotdraw.standardHandleEnumerator.java,
AJHotDraw,SelectAreaTracker.java,org.jhotdraw.standardSelectAreaTracker.java,
AJHotDraw,FigureChangeAdapter.java,org.jhotdraw.standardFigureChangeAdapter.java,
AJHotDraw,OrderedFigureElement.java,org.jhotdraw.standardOrderedFigureElement.java,
AJHotDraw,SimpleUpdateStrategy.java,org.jhotdraw.standardSimpleUpdateStrategy.java,
AJHotDraw,PasteCommand.java,org.jhotdraw.standardPasteCommand.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
