Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,NullHandle.java,org.jhotdraw.standard.NullHandle
AJHotDraw,QuadTree.java,org.jhotdraw.standard.QuadTree
AJHotDraw,StandardFigureSelection.java,org.jhotdraw.standard.StandardFigureSelection
AJHotDraw,OffsetLocator.java,org.jhotdraw.standard.OffsetLocator
AJHotDraw,StandardDrawing.java,org.jhotdraw.standard.StandardDrawing
AJHotDraw,CopyCommand.java,org.jhotdraw.standard.CopyCommand
AJHotDraw,ChangeAttributeCommand.java,org.jhotdraw.standard.ChangeAttributeCommand
AJHotDraw,RelativeLocator.java,org.jhotdraw.standard.RelativeLocator
AJHotDraw,DragTracker.java,org.jhotdraw.standard.DragTracker
AJHotDraw,DragTracker.java,org.jhotdraw.standard.DragTracker$UndoActivity
AJHotDraw,SendToBackCommand.java,org.jhotdraw.standard.SendToBackCommand
AJHotDraw,SendToBackCommand.java,org.jhotdraw.standard.SendToBackCommand$UndoActivity
AJHotDraw,AbstractLocator.java,org.jhotdraw.standard.AbstractLocator
AJHotDraw,ConnectionHandle.java,org.jhotdraw.standard.ConnectionHandle
AJHotDraw,CompositeFigure.java,org.jhotdraw.standard.CompositeFigure
AJHotDraw,LocatorConnector.java,org.jhotdraw.standard.LocatorConnector
AJHotDraw,TextHolder.java,org.jhotdraw.standard.TextHolder
AJHotDraw,ConnectionTool.java,org.jhotdraw.standard.ConnectionTool
AJHotDraw,ConnectionTool.java,org.jhotdraw.standard.ConnectionTool$UndoActivity
AJHotDraw,HandleAndEnumerator.java,org.jhotdraw.standard.HandleAndEnumerator
AJHotDraw,BufferedUpdateStrategy.java,org.jhotdraw.standard.BufferedUpdateStrategy
AJHotDraw,AbstractFigure.java,org.jhotdraw.standard.AbstractFigure
AJHotDraw,BringToFrontCommand.java,org.jhotdraw.standard.BringToFrontCommand
AJHotDraw,DuplicateCommand.java,org.jhotdraw.standard.DuplicateCommand
AJHotDraw,ToolButton.java,org.jhotdraw.standard.ToolButton
AJHotDraw,GridConstrainer.java,org.jhotdraw.standard.GridConstrainer
AJHotDraw,ChangeConnectionEndHandle.java,org.jhotdraw.standard.ChangeConnectionEndHandle
AJHotDraw,ChangeConnectionEndHandle.java,org.jhotdraw.standard.ChangeConnectionEndHandle$UndoActivity
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standard.StandardDrawingView
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standard.StandardDrawingView$ASH
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standard.StandardDrawingView$DrawingViewMouseListener
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standard.StandardDrawingView$DrawingViewMouseMotionListener
AJHotDraw,StandardDrawingView.java,org.jhotdraw.standard.StandardDrawingView$DrawingViewKeyListener
